rows,cols,iterations,input,final,stack,read_s,compute_s,write_s,overall_s
192,192,110,../data/initial.dat,../data/final_serial.dat,disabled,1.101493835e-04,2.021789551e-03,2.272129059e-04,2.363204956e-03
192,192,110,../data/initial.dat,../data/final_serial.dat,disabled,1.080036163e-04,2.131938934e-03,2.200603485e-04,2.464056015e-03
192,192,130,../data/initial.dat,../data/final_serial.dat,disabled,1.139640808e-04,2.135992050e-03,2.458095551e-04,2.499818802e-03
192,192,130,../data/initial.dat,../data/final_serial.dat,disabled,1.499652863e-04,2.172946930e-03,2.470016479e-04,2.574920654e-03
192,192,130,../data/initial.dat,../data/final_serial.dat,disabled,1.111030579e-04,2.173900604e-03,2.329349518e-04,2.521038055e-03
192,192,130,../data/initial.dat,../data/final_serial.dat,disabled,9.703636169e-05,2.345800400e-03,4.210472107e-04,2.867937088e-03
192,192,130,../data/initial.dat,../data/final_serial.dat,disabled,1.180171967e-04,2.138853073e-03,2.100467682e-04,2.470970154e-03
192,192,150,../data/initial.dat,../data/final_serial.dat,disabled,1.120567322e-04,2.490043640e-03,2.419948578e-04,2.848148346e-03
192,192,150,../data/initial.dat,../data/final_serial.dat,disabled,1.349449158e-04,2.496957779e-03,2.970695496e-04,2.933979034e-03
192,192,150,../data/initial.dat,../data/final_serial.dat,disabled,1.130104065e-04,2.467870712e-03,2.431869507e-04,2.828121185e-03
192,192,150,../data/initial.dat,../data/final_serial.dat,disabled,1.010894775e-04,2.703905106e-03,2.369880676e-04,3.046035767e-03
192,192,150,../data/initial.dat,../data/final_serial.dat,disabled,9.179115295e-05,2.659082413e-03,2.260208130e-04,2.981901169e-03
192,192,170,../data/initial.dat,../data/final_serial.dat,disabled,1.130104065e-04,3.005981445e-03,2.429485321e-04,3.365993500e-03
192,192,170,../data/initial.dat,../data/final_serial.dat,disabled,1.349449158e-04,2.771854401e-03,2.272129059e-04,3.137111664e-03
192,192,170,../data/initial.dat,../data/final_serial.dat,disabled,1.111030579e-04,2.830982208e-03,2.288818359e-04,3.175020218e-03
192,192,170,../data/initial.dat,../data/final_serial.dat,disabled,1.268386841e-04,2.999067307e-03,2.050399780e-04,3.334999084e-03
192,192,170,../data/initial.dat,../data/final_serial.dat,disabled,1.039505005e-04,2.812147141e-03,2.129077911e-04,3.133058548e-03
192,192,190,../data/initial.dat,../data/final_serial.dat,disabled,1.161098480e-04,3.234863281e-03,2.551078796e-04,3.610134125e-03
192,192,190,../data/initial.dat,../data/final_serial.dat,disabled,1.108646393e-04,3.079891205e-03,2.272129059e-04,3.422021866e-03
192,192,190,../data/initial.dat,../data/final_serial.dat,disabled,1.718997955e-04,3.098011017e-03,2.238750458e-04,3.497838974e-03
192,192,190,../data/initial.dat,../data/final_serial.dat,disabled,1.060962677e-04,3.109931946e-03,2.200603485e-04,3.440141678e-03
192,192,190,../data/initial.dat,../data/final_serial.dat,disabled,9.703636169e-05,3.861904144e-03,2.229213715e-04,4.185914993e-03
256,256,10,../data/initial.dat,../data/final_serial.dat,disabled,2.050399780e-04,4.210472107e-04,3.418922424e-04,9.720325470e-04
256,256,10,../data/initial.dat,../data/final_serial.dat,disabled,1.921653748e-04,3.921985626e-04,1.294851303e-03,1.883029938e-03
256,256,10,../data/initial.dat,../data/final_serial.dat,disabled,1.680850983e-04,4.029273987e-04,3.082990646e-03,3.658056259e-03
256,256,10,../data/initial.dat,../data/final_serial.dat,disabled,1.800060272e-04,3.948211670e-04,3.443002701e-03,4.021883011e-03
256,256,10,../data/initial.dat,../data/final_serial.dat,disabled,1.630783081e-04,4.010200500e-04,3.068447113e-04,8.749961853e-04
256,256,30,../data/initial.dat,../data/final_serial.dat,disabled,1.800060272e-04,1.061916351e-03,3.530979156e-04,1.600027084e-03
256,256,30,../data/initial.dat,../data/final_serial.dat,disabled,1.809597015e-04,9.689331055e-04,3.499984741e-04,1.503944397e-03
256,256,30,../data/initial.dat,../data/final_serial.dat,disabled,1.649856567e-04,9.930133820e-04,3.638267517e-04,1.525878906e-03
256,256,30,../data/initial.dat,../data/final_serial.dat,disabled,1.549720764e-04,1.021862030e-03,3.168582916e-04,1.498937607e-03
256,256,30,../data/initial.dat,../data/final_serial.dat,disabled,1.530647278e-04,1.079797745e-03,3.111362457e-04,1.548051834e-03
256,256,50,../data/initial.dat,../data/final_serial.dat,disabled,1.809597015e-04,1.571178436e-03,3.228187561e-04,2.078771591e-03
256,256,50,../data/initial.dat,../data/final_serial.dat,disabled,1.759529114e-04,1.514911652e-03,3.280639648e-04,2.023935318e-03
256,256,50,../data/initial.dat,../data/final_serial.dat,disabled,1.668930054e-04,1.492023468e-03,3.421306610e-04,2.005100250e-03
256,256,50,../data/initial.dat,../data/final_serial.dat,disabled,1.559257507e-04,1.592874527e-03,3.049373627e-04,2.057790756e-03
256,256,50,../data/initial.dat,../data/final_serial.dat,disabled,1.850128174e-04,1.603126526e-03,3.018379211e-04,2.095937729e-03
256,256,70,../data/initial.dat,../data/final_serial.dat,disabled,1.721382141e-04,2.140998840e-03,3.240108490e-04,2.640962601e-03
256,256,70,../data/initial.dat,../data/final_serial.dat,disabled,1.871585846e-04,2.030134201e-03,3.349781036e-04,2.555131912e-03
256,256,70,../data/initial.dat,../data/final_serial.dat,disabled,1.659393311e-04,2.256870270e-03,3.390312195e-04,2.765893936e-03
256,256,70,../data/initial.dat,../data/final_serial.dat,disabled,2.009868622e-04,2.082109451e-03,3.728866577e-04,2.659797668e-03
256,256,70,../data/initial.dat,../data/final_serial.dat,disabled,1.358985901e-04,2.050876617e-03,3.111362457e-04,2.501964569e-03
256,256,90,../data/initial.dat,../data/final_serial.dat,disabled,3.430843353e-04,3.092050552e-03,3.700256348e-04,3.810167313e-03
256,256,90,../data/initial.dat,../data/final_serial.dat,disabled,2.150535583e-04,3.094911575e-03,4.439353943e-04,3.757953644e-03
256,256,90,../data/initial.dat,../data/final_serial.dat,disabled,2.360343933e-04,2.620935440e-03,3.130435944e-04,3.174066544e-03
256,256,90,../data/initial.dat,../data/final_serial.dat,disabled,1.769065857e-04,2.938032150e-03,1.986026764e-03,5.105018616e-03
256,256,90,../data/initial.dat,../data/final_serial.dat,disabled,1.339912415e-04,2.593994141e-03,7.851123810e-04,3.517150879e-03
256,256,110,../data/initial.dat,../data/final_serial.dat,disabled,1.838207245e-04,3.425121307e-03,3.628730774e-04,3.976821899e-03
256,256,110,../data/initial.dat,../data/final_serial.dat,disabled,1.840591431e-04,3.556013107e-03,3.468990326e-04,4.091978073e-03
256,256,110,../data/initial.dat,../data/final_serial.dat,disabled,1.749992371e-04,3.268003464e-03,3.340244293e-04,3.781080246e-03
256,256,110,../data/initial.dat,../data/final_serial.dat,disabled,1.509189606e-04,3.260850906e-03,3.130435944e-04,3.728866577e-03
