n,trial_index,total_s,read_s,compute_s,write_s
1000,267,0.004896985,0.001204495,0.003650639,3.6645e-05
1000,268,0.005387561,0.001421099,0.003921956,3.9707e-05
1000,269,0.005319273,0.001610348,0.003665441,3.8482e-05
1000,270,0.004834107,0.00109956,0.003676566,5.2876e-05
1000,271,0.00452104,0.000979621,0.003490687,4.5526e-05
1000,272,0.00471825,0.001122732,0.003544072,4.6649e-05
1000,273,0.005463914,0.001725387,0.003680955,5.2569e-05
1000,274,0.004538801,0.001046277,0.003448428,3.9197e-05
1000,275,0.004815222,0.00114672,0.003617158,4.5526e-05
1000,276,0.005077965,0.001481835,0.003556729,3.4603e-05
1000,277,0.004670172,0.001061282,0.003566121,3.6441e-05
1000,278,0.004989466,0.001095478,0.003826312,6.2573e-05
1000,279,0.005076842,0.001550225,0.003480683,4.1238e-05
1000,280,0.00494496,0.001152232,0.00373179,5.5019e-05
1000,281,0.004796645,0.001137227,0.003611136,4.3383e-05
1000,282,0.004969765,0.001167339,0.003756798,3.8891e-05
1000,283,0.005394707,0.001705483,0.003646148,3.8074e-05
1000,284,0.004889023,0.001161419,0.00366595,5.6448e-05
1000,285,0.004579938,0.001055056,0.003455266,6.3491e-05
1000,286,0.004917809,0.001149782,0.003716479,4.5117e-05
1000,287,0.004963742,0.00132576,0.003571632,5.9612e-05
1000,288,0.004579734,0.001061181,0.003464963,4.8792e-05
1000,289,0.004630771,0.001015756,0.003564182,4.6342e-05
1000,290,0.004926383,0.00131688,0.003551932,5.0834e-05
1000,291,0.004762653,0.00113692,0.003551116,6.9412e-05
1000,292,0.004637611,0.001049135,0.003514981,6.8493e-05
1000,293,0.004912092,0.001171728,0.003675138,6.0123e-05
1000,294,0.004696406,0.001113545,0.003529169,4.869e-05
1000,295,0.004826961,0.001076798,0.00369392,5.1344e-05
1000,296,0.004809711,0.001102418,0.003641146,6.0531e-05
1000,297,0.004557685,0.000992483,0.003519982,4.083e-05
1000,298,0.004552173,0.001037294,0.003469557,4.0626e-05
1000,299,0.005059388,0.001240017,0.00375047,6.3287e-05
1000,300,0.004666498,0.00105628,0.003563874,4.1647e-05
1000,301,0.004628424,0.001103235,0.003485787,3.4501e-05
1000,302,0.004858401,0.001098745,0.003697594,5.5632e-05
1000,303,0.00469661,0.00102331,0.003628285,3.981e-05
1000,304,0.00470151,0.001050769,0.003603378,4.1136e-05
1000,305,0.005503621,0.001633315,0.003803141,6.196e-05
1000,306,0.004579121,0.000973599,0.003547747,5.2977e-05
1000,307,0.005288037,0.001542161,0.003688612,5.2569e-05
