N,P,trial,elapsed_seconds,absorbed,transmitted,reflected
1600000,14,4,0.011220556000012039,744175,373066,482759
1600000,15,0,0.011697364000042398,744320,372232,483448
1600000,15,1,0.011074145000065982,745192,371372,483436
1600000,15,2,0.010931875000096625,745057,372443,482500
1600000,15,3,0.010912034000057247,745403,373008,481589
1600000,15,4,0.011298828999997568,744182,373249,482569
1600000,16,0,0.010373363999974572,744463,372192,483345
1600000,16,1,0.0105606939999916,745137,371385,483478
1600000,16,2,0.01037135000001399,744965,372546,482489
1600000,16,3,0.010359485999970275,745598,372672,481730
1600000,16,4,0.01033680299997286,744383,372905,482712
1600000,17,0,0.010033227999997507,744362,372717,482921
1600000,17,1,0.01002727499997036,745108,371400,483492
1600000,17,2,0.010477627000000211,745233,372441,482326
1600000,17,3,0.010242189999985385,745479,373010,481511
1600000,17,4,0.010281211999995321,744211,372976,482813
1600000,18,0,0.009776605000070049,744726,372664,482610
1600000,18,1,0.009886547000064638,744672,371814,483514
1600000,18,2,0.009581884999988688,744980,372392,482628
1600000,18,3,0.009823314999948707,745313,373239,481448
1600000,18,4,0.009683601999995517,744184,373001,482815
1600000,19,0,0.009385371999997005,744912,372633,482455
1600000,19,1,0.009383952000007412,745014,371582,483404
1600000,19,2,0.00924537399998826,745068,372372,482560
1600000,19,3,0.009288676999972267,745385,373134,481481
1600000,19,4,0.00929976700001589,744019,372980,483001
1600000,20,0,0.009281076999968718,744888,372655,482457
1600000,20,1,0.009055640999918069,745070,371775,483155
1600000,20,2,0.00888974600002257,745381,372326,482293
1600000,20,3,0.008956340000054297,745314,373135,481551
1600000,20,4,0.008839887000021918,743949,372932,483119
3200000,1,0,0.19724967399997695,1489626,745625,964749
3200000,1,1,0.19657119700002568,1490960,744552,964488
3200000,1,2,0.19778970100003335,1489815,743760,966425
3200000,1,3,0.19897600500007684,1489336,744283,966381
3200000,1,4,0.19878245100005643,1491222,743253,965525
3200000,2,0,0.10009430200000224,1490023,745230,964747
3200000,2,1,0.10476435200007472,1490495,744858,964647
3200000,2,2,0.10007989700000053,1489723,744574,965703
3200000,2,3,0.09920317999990402,1489780,742998,967222
3200000,2,4,0.10089498700006061,1490633,743515,965852
3200000,3,0,0.06768269500003044,1489542,745836,964622
3200000,3,1,0.07146648399998412,1489306,744279,966415
3200000,3,2,0.07037258899993049,1489422,744858,965720
3200000,3,3,0.06919610099998863,1490092,742860,967048
3200000,3,4,0.06706841799996255,1489920,743598,966482
3200000,4,0,0.052952384000036545,1490106,745907,963987
3200000,4,1,0.0534366910000017,1489570,744260,966170
3200000,4,2,0.052489135999962855,1488662,745124,966214
3200000,4,3,0.05467834299997776,1489901,743535,966564
3200000,4,4,0.05646365500001593,1489004,744669,966327
3200000,5,0,0.043231506999973135,1488744,745459,965797
3200000,5,1,0.04385994400001891,1489703,744199,966098
3200000,5,2,0.043315123000070344,1488971,745472,965557
3200000,5,3,0.04404275399997459,1489540,743554,966906
3200000,5,4,0.044637584999918545,1488565,744762,966673
3200000,6,0,0.03700530000003255,1488941,744344,966715
3200000,6,1,0.03757527100003699,1490725,744264,965011
3200000,6,2,0.03679057700003341,1489459,745374,965167
3200000,6,3,0.03802299900007711,1488912,744345,966743
3200000,6,4,0.03795706500000051,1488799,744393,966808
3200000,7,0,0.03366350299995702,1488419,745156,966425
3200000,7,1,0.03146623199995702,1490740,744093,965167
3200000,7,2,0.032076521000021785,1489956,744505,965539
3200000,7,3,0.03410867100001269,1489509,744334,966157
3200000,7,4,0.03559937800002899,1489145,744831,966024
3200000,8,0,0.03184558899999956,1488044,745273,966683
3200000,8,1,0.031903703000011774,1490641,744308,965051
3200000,8,2,0.030536557000004905,1490200,743778,966022
3200000,8,3,0.03077972099993076,1490065,743696,966239
3200000,8,4,0.030733132000023033,1488837,745294,965869
