iteration,label,ranks,rank,overall_avg,overall_peak,job_avg,job_peak_rank,section_avg,section_peak,section_job_avg,section_job_peak_rank
0,mpi_matvec,1,0,0.845827319,1078.554739942,0.845827319,1078.554739942,0.845840952,1098.230633262,0.845840952,1098.230633262
0,mpi_matvec,1,0,1.009697534,1566.170667746,1.009697534,1566.170667746,1.009716956,1622.644909465,1.009716956,1622.644909465
0,mpi_matvec,1,0,1.027396524,1539.514251866,1.027396524,1539.514251866,1.027417395,1593.907706380,1.027417395,1593.907706380
0,mpi_matvec,1,0,0.897558665,1184.990098541,0.897558665,1184.990098541,0.897581464,1217.038537668,0.897581464,1217.038537668
0,mpi_matvec,1,0,0.822841884,1334.222848520,0.822841884,1334.222848520,0.822848489,1344.186412795,0.822848489,1344.186412795
0,mpi_matvec,1,0,0.956302960,1295.803039757,0.956302960,1295.803039757,0.956310969,1305.199073726,0.956310969,1305.199073726
0,mpi_matvec,1,0,1.028247690,1464.367060278,1.028247690,1464.367060278,1.028262274,1501.000660314,1.028262274,1501.000660314
0,mpi_matvec,1,0,1.000349896,1608.291589581,1.000349896,1608.291589581,1.000368605,1652.437367347,1.000368605,1652.437367347
0,mpi_matvec,1,0,0.987611042,1566.307011840,0.987611042,1566.307011840,0.987637509,1593.907770564,0.987637509,1593.907770564
0,mpi_matvec,1,0,1.099276395,1622.644909465,1.099276395,1622.644909465,1.099292237,1667.747613996,1.099292237,1667.747613996
0,mpi_matvec,1,0,0.817002005,1335.509739294,0.817002005,1335.509739294,0.817011721,1355.523750521,0.817011721,1355.523750521
0,mpi_matvec,1,0,0.892446765,1609.729925944,0.892446765,1609.729925944,0.892457371,1654.107705416,0.892457371,1654.107705416
0,mpi_matvec,1,0,0.869737859,1112.897246721,0.869737859,1112.897246721,0.869752188,1163.091268905,0.869752188,1163.091268905
0,mpi_matvec,1,0,0.797459224,1278.590683782,0.797459224,1278.590683782,0.797472064,1325.673873741,0.797472064,1325.673873741
0,mpi_matvec,1,0,1.027259430,1355.523750521,1.027259430,1355.523750521,1.027278882,1386.855681885,1.027278882,1386.855681885
0,mpi_matvec,1,0,0.986659921,1581.444429766,0.986659921,1581.444429766,0.986678260,1624.255530746,0.986678260,1624.255530746
0,mpi_matvec,1,0,0.726916914,1595.461821292,0.726916914,1595.461821292,0.727167245,1624.255530746,0.727167245,1624.255530746
0,mpi_matvec,1,0,1.119777190,1595.603248912,1.119777190,1595.603248912,1.119786893,1624.255530746,1.119786893,1624.255530746
0,mpi_matvec,1,0,1.166486304,2273.050177926,1.166486304,2273.050177926,1.166496292,2305.807733676,1.166496292,2305.807733676
0,mpi_matvec,1,0,1.105227814,2151.115888054,1.105227814,2151.115888054,1.105237952,2180.282095728,1.105237952,2180.282095728
0,mpi_matvec,1,0,0.660326282,2136.752154604,0.660326282,2136.752154604,0.660330870,2180.282028175,0.660330870,2180.282028175
0,mpi_matvec,1,0,1.114086627,1920.768330260,1.114086627,1920.768330260,1.114091941,1932.367155698,1.114091941,1932.367155698
0,mpi_matvec,1,0,1.111108191,1802.106209274,1.111108191,1802.106209274,1.111121184,1832.970557692,1.111121184,1832.970557692
0,mpi_matvec,1,0,1.115987986,2152.852573765,1.115987986,2152.852573765,1.115997290,2197.047697725,1.115997290,2197.047697725
0,mpi_matvec,1,0,1.061344736,1091.107457825,1.061344736,1091.107457825,1.061349734,1098.561560841,1.061349734,1098.561560841
0,mpi_matvec,1,0,1.057070855,1920.883575745,1.057070855,1920.883575745,1.057083755,1955.870640006,1.057083755,1955.870640006
0,mpi_matvec,1,0,1.078925277,1644.990504906,1.078925277,1644.990504906,1.078935255,1662.078626855,1.078935255,1662.078626855
0,mpi_matvec,1,0,1.073636090,2043.161747104,1.073636090,2043.161747104,1.073645866,2069.456157616,1.073645866,2069.456157616
0,mpi_matvec,1,0,1.084610978,1854.212555935,1.084610978,1854.212555935,1.084616076,1864.910544649,1.084616076,1864.910544649
0,mpi_matvec,1,0,1.093725015,1733.947447461,1.093725015,1733.947447461,1.093737948,1772.264062983,1.093737948,1772.264062983
0,mpi_matvec,1,0,1.093383179,2069.456096756,1.093383179,2069.456096756,1.093392103,2110.400292758,1.093392103,2110.400292758
0,mpi_matvec,1,0,1.087945649,1854.212507077,1.087945649,1854.212507077,1.087958277,1886.903728724,1.087958277,1886.903728724
0,mpi_matvec,1,0,1.107708113,1772.165915709,1.107708113,1772.165915709,1.107732778,1832.970557692,1.107732778,1832.970557692
0,mpi_matvec,1,0,1.107133062,1803.324864987,1.107133062,1803.324864987,1.107138311,1834.231328867,1.107138311,1834.231328867
0,mpi_matvec,1,0,1.105160793,2071.063320239,1.105160793,2071.063320239,1.105173612,2111.793069086,1.105173612,2111.793069086
0,mpi_matvec,1,0,1.103822999,2070.929350550,1.103822999,2070.929350550,1.103832129,2098.085477822,1.103832129,2098.085477822
0,mpi_matvec,1,0,1.090673968,2169.050368599,1.090673968,2169.050368599,1.090679934,2183.853187630,1.090679934,2183.853187630
0,mpi_matvec,1,0,1.103871458,1866.324543788,1.103871458,1866.324543788,1.103884282,1922.268231154,1.103884282,1922.268231154
