rows,cols,steps,threads,dx,dy,height,save_interval,repeat,read_time_s,compute_time_s,write_time_s,movie_bytes,movie_path
10000,100,500,6,1.0,1.0,0.5,500,1,0.0,0.804696798324585,0.0,48000068,
10000,100,500,8,1.0,1.0,0.5,500,1,0.0,0.9499411582946777,0.0,48000068,
10000,500,500,1,1.0,1.0,0.5,500,1,0.0,15.836063861846924,0.0,240000068,
10000,500,500,2,1.0,1.0,0.5,500,1,0.0,7.0688159465789795,0.0,240000068,
10000,500,500,4,1.0,1.0,0.5,500,1,0.0,3.9308488368988037,0.0,240000068,
10000,500,500,6,1.0,1.0,0.5,500,1,0.0,3.527523994445801,0.0,240000068,
10000,500,500,8,1.0,1.0,0.5,500,1,0.0,3.385329008102417,0.0,240000068,
10000,1000,500,1,1.0,1.0,0.5,500,1,0.0,33.34605121612549,0.0,480000068,
10000,1000,500,2,1.0,1.0,0.5,500,1,0.0,19.09407091140747,0.0,480000068,
10000,1000,500,4,1.0,1.0,0.5,500,1,0.0,9.776758193969727,0.0,480000068,
10000,1000,500,6,1.0,1.0,0.5,500,1,0.0,7.3397908210754395,0.0,480000068,
10000,1000,500,8,1.0,1.0,0.5,500,1,0.0,6.904276132583618,0.0,480000068,
10000,5000,500,1,1.0,1.0,0.5,500,1,0.0,75.16999506950378,0.0,2400000068,
10000,5000,500,2,1.0,1.0,0.5,500,1,0.0,41.303186893463135,0.0,2400000068,
10000,5000,500,4,1.0,1.0,0.5,500,1,0.0,31.743664979934692,0.0,2400000068,
10000,5000,500,6,1.0,1.0,0.5,500,1,0.0,33.63619613647461,0.0,2400000068,
10000,5000,500,8,1.0,1.0,0.5,500,1,0.0,34.09608197212219,0.0,2400000068,
10000,10000,500,1,1.0,1.0,0.5,500,1,0.0,158.1872889995575,0.0,4800000068,
10000,10000,500,2,1.0,1.0,0.5,500,1,0.0,74.87836003303528,0.0,4800000068,
10000,10000,500,4,1.0,1.0,0.5,500,1,0.0,65.02903294563293,0.0,4800000068,
10000,10000,500,6,1.0,1.0,0.5,500,1,0.0,66.90742492675781,0.0,4800000068,
10000,10000,500,8,1.0,1.0,0.5,500,1,0.0,88.87261295318604,0.0,4800000068,
