rows,cols,steps,threads,problem,avg_read_time_s,avg_compute_time_s,avg_write_time_s,speedup,efficiency,count
200,200,1000,2,40000000,0.0,0.09326858520507812,0.0,1.9336196001603287,0.9668098000801644,5
200,200,1000,4,40000000,0.0,0.06400094032287598,0.0,2.8178642926485455,0.7044660731621364,5
200,200,1000,8,40000000,0.0,0.04226565361022949,0.0,4.266962628684248,0.533370328585531,5
200,200,1000,10,40000000,0.0,0.03608903884887695,0.0,4.997250416863758,0.49972504168637577,5
200,200,1000,12,40000000,0.0,0.031870555877685544,0.0,5.65870156529129,0.4715584637742742,5
200,200,1000,14,40000000,0.0,0.028699588775634766,0.0,6.283921551686898,0.44885153940620703,5
200,200,1000,16,40000000,0.0,0.025592517852783204,0.0,7.046823820507757,0.4404264887817348,5
200,200,1000,18,40000000,0.0,0.025717401504516603,0.0,7.012604457728342,0.38958913654046345,5
200,200,1000,20,40000000,0.0,0.024477577209472655,0.0,7.367802903384166,0.3683901451692083,5
200,200,2000,1,80000000,0.0,0.3490466117858887,0.0,1.0,1.0,5
200,200,2000,2,80000000,0.0,0.18530817031860353,0.0,1.8836007672288104,0.9418003836144052,5
200,200,2000,4,80000000,0.0,0.10980439186096191,0.0,3.178803742457437,0.7947009356143593,5
200,200,2000,8,80000000,0.0,0.07794122695922852,0.0,4.478330986096445,0.5597913732620556,5
200,200,2000,10,80000000,0.0,0.06970682144165039,0.0,5.007352287294663,0.5007352287294663,5
200,200,2000,12,80000000,0.0,0.06156916618347168,0.0,5.669178802028193,0.4724315668356827,5
200,200,2000,14,80000000,0.0,0.055443859100341795,0.0,6.2954963353865265,0.4496783096704662,5
200,200,2000,16,80000000,0.0,0.049600982666015626,0.0,7.037090658791319,0.43981816617445746,5
200,200,2000,18,80000000,0.0,0.04993734359741211,0.0,6.989691213850976,0.3883161785472764,5
200,200,2000,20,80000000,0.0,0.04683876037597656,0.0,7.452089017388118,0.37260445086940586,5
200,300,1000,1,60000000,0.0,0.26416783332824706,0.0,1.0,1.0,5
200,300,1000,2,60000000,0.0,0.13733515739440919,0.0,1.9235266361518084,0.9617633180759042,5
200,300,1000,4,60000000,0.0,0.08287553787231446,0.0,3.1875248126322617,0.7968812031580654,5
200,300,1000,8,60000000,0.0,0.06025094985961914,0.0,4.384459231659272,0.548057403957409,5
