N,P,trial,serial_absorbed,parallel_absorbed,diff_absorbed,serial_transmitted,parallel_transmitted,diff_transmitted,serial_reflected,parallel_reflected,diff_reflected,pass
6400000,2,2,4880233,4880438,3.2031250000064126e-05,6069,6106,5.7812500000000355e-06,1513698,1513456,3.781249999998404e-05,1
6400000,2,3,4883183,4880748,0.0003804687499999737,6065,6000,1.0156250000000074e-05,1510752,1513252,0.00039062500000000555,1
6400000,2,4,4883100,4881844,0.00019625000000000892,6036,6055,2.9687500000000417e-06,1510864,1512101,0.00019328125000001029,1
6400000,4,0,4882287,4884900,0.00040828124999992,6083,6140,8.906250000000017e-06,1511630,1508960,0.00041718749999999916,1
6400000,4,1,4883421,4882506,0.0001429687499999721,6066,6095,4.531249999999978e-06,1510513,1511399,0.00013843749999997712,1
6400000,4,2,4880233,4881168,0.00014609375000007585,6069,6186,1.828124999999996e-05,1513698,1512646,0.0001643749999999944,1
6400000,4,3,4883183,4880640,0.000397343750000001,6065,6041,3.750000000000064e-06,1510752,1513319,0.00040109375000002556,1
6400000,4,4,4883100,4880276,0.00044125000000005965,6036,5989,7.343749999999972e-06,1510864,1513735,0.0004485937500000037,1
6400000,8,0,4882287,4882753,7.281250000001904e-05,6083,6085,3.1249999999998727e-07,1511630,1511162,7.312500000000721e-05,1
6400000,8,1,4883421,4881936,0.00023203124999993108,6066,6143,1.2031249999999998e-05,1510513,1511921,0.00021999999999999797,1
6400000,8,2,4880233,4881934,0.00026578124999998565,6069,6096,4.218749999999991e-06,1513698,1511970,0.00026999999999999247,1
6400000,8,3,4883183,4881153,0.0003171874999999824,6065,6068,4.687499999999267e-07,1510752,1512779,0.00031671875000000016,1
6400000,8,4,4883100,4881357,0.00027234375000007027,6036,6145,1.703125000000001e-05,1510864,1512498,0.00025531250000002115,1
6400000,16,0,4882287,4881005,0.00020031250000007716,6083,5963,1.8749999999999995e-05,1511630,1513032,0.00021906249999997796,1
6400000,16,1,4883421,4883517,1.4999999999987246e-05,6066,6191,1.9531250000000017e-05,1510513,1510292,3.453125000002499e-05,1
6400000,16,2,4880233,4881943,0.0002671874999999879,6069,6085,2.5000000000000066e-06,1513698,1511972,0.0002696875000000043,1
6400000,16,3,4883183,4882293,0.00013906249999995346,6065,6061,6.25000000000083e-07,1510752,1511646,0.00013968750000001307,1
6400000,16,4,4883100,4880890,0.0003453125000000279,6036,6212,2.7500000000000072e-05,1510864,1512898,0.00031781250000001426,1
6400000,20,0,4882287,4880879,0.00021999999999999797,6083,6002,1.265625000000008e-05,1511630,1513119,0.00023265624999999068,1
6400000,20,1,4883421,4882559,0.00013468750000000806,6066,6204,2.156249999999999e-05,1510513,1511237,0.0001131249999999917,1
6400000,20,2,4880233,4881227,0.0001553125000000044,6069,6048,3.281250000000029e-06,1513698,1512725,0.00015203124999998985,1
6400000,20,3,4883183,4881746,0.00022453124999999297,6065,6005,9.375000000000052e-06,1510752,1512249,0.00023390625000002663,1
6400000,20,4,4883100,4881042,0.00032156250000003883,6036,6188,2.3750000000000008e-05,1510864,1512770,0.000297812500000022,1
