n,p,a,b,answer,time_seconds,speedup,efficiency
200000000,36,10.0,20.0,2333.333333333361,0.020974,32.874845046247735,0.9131901401735482
200000000,37,10.0,20.0,2333.333333333343,0.019822,34.78544041973565,0.9401470383712338
200000000,38,10.0,20.0,2333.333333333359,0.020099,34.306035126125686,0.9027903980559391
200000000,39,10.0,20.0,2333.333333333361,0.019176,35.9572903629537,0.9219818041783
200000000,40,10.0,20.0,2333.333333333323,0.019223,35.869375227591945,0.8967343806897986
200000000,41,10.0,20.0,2333.333333333359,0.01811,38.07382661512976,0.9286299174421893
200000000,42,10.0,20.0,2333.333333333335,0.018667,36.937751111587296,0.8794702645616023
200000000,43,10.0,20.0,2333.333333333361,0.017786,38.767401326886315,0.9015674727182864
200000000,44,10.0,20.0,2333.333333333356,0.017201,40.08586710074996,0.9110424341079536
200000000,45,10.0,20.0,2333.333333333343,0.017696,38.96456826401447,0.865879294755877
200000000,46,10.0,20.0,2333.333333333359,0.017177,40.14187576410316,0.8726494731326774
200000000,47,10.0,20.0,2333.333333333372,0.016565,41.62493208572291,0.8856368528877215
200000000,48,10.0,20.0,2333.333333333372,0.015771,43.72056305877877,0.9108450637245578
200000000,49,10.0,20.0,2333.333333333357,0.01599,43.121763602251406,0.8800359918826818
200000000,50,10.0,20.0,2333.333333333326,0.016563,41.62995834088027,0.8325991668176055
200000000,51,10.0,20.0,2333.333333333321,0.015864,43.464258698941,0.852240366645902
200000000,52,10.0,20.0,2333.333333333334,0.014867,46.3790273760678,0.8919043726166885
200000000,53,10.0,20.0,2333.333333333323,0.016382,42.08991576120132,0.7941493539849306
200000000,54,10.0,20.0,2333.333333333342,0.015003,45.95860827834433,0.851085338487858
200000000,55,10.0,20.0,2333.333333333345,0.01475,46.746915254237294,0.8499439137134054
200000000,56,10.0,20.0,2333.333333333362,0.014626,47.14323806919185,0.8418435369498545
200000000,57,10.0,20.0,2333.33333333332,0.014912,46.23906920600859,0.811211740456291
200000000,58,10.0,20.0,2333.333333333372,0.015183,45.41375222288086,0.7829957279807045
200000000,59,10.0,20.0,2333.333333333339,0.014055,49.05848452508005,0.8314997377132212
200000000,60,10.0,20.0,2333.333333333354,0.01386,49.7487012987013,0.8291450216450217
200000000,61,10.0,20.0,2333.333333333324,0.012852,53.65056022408964,0.879517380722781
200000000,62,10.0,20.0,2333.333333333331,0.013498,51.08290117054379,0.8239177608152225
200000000,63,10.0,20.0,2333.333333333317,0.012744,54.10522598870057,0.858813110931755
200000000,64,10.0,20.0,2333.333333333311,0.013661,50.47339140619282,0.7886467407217628
200000000,65,10.0,20.0,2333.333333333357,0.014282,48.278742473042996,0.7427498842006615
200000000,66,10.0,20.0,2333.333333333348,0.013635,50.569636963696375,0.7662066206620662
200000000,67,10.0,20.0,2333.333333333354,0.013515,51.018645948945625,0.7614723275962033
200000000,68,10.0,20.0,2333.33333333334,0.013641,50.54739388607874,0.743344027736452
200000000,69,10.0,20.0,2333.33333333335,0.013192,52.26781382656155,0.757504548211037
200000000,70,10.0,20.0,2333.33333333333,0.013619,50.62904765401278,0.7232721093430398
200000000,71,10.0,20.0,2333.333333333323,0.013408,51.425790572792366,0.7243069094759488
200000000,72,10.0,20.0,2333.333333333312,0.01306,52.796094946401226,0.7332790964777948
200000000,73,10.0,20.0,2333.333333333331,0.012234,56.36071603727318,0.7720646032503176
200000000,74,10.0,20.0,2333.333333333331,0.011301,61.013804088133796,0.8245108660558621
200000000,75,10.0,20.0,2333.333333333326,0.012991,53.07651451004541,0.7076868601339389
200000000,76,10.0,20.0,2333.333333333331,0.012923,53.3557997369032,0.7020499965382
200000000,77,10.0,20.0,2333.333333333341,0.012835,53.72162056875731,0.6976833840098352
200000000,78,10.0,20.0,2333.333333333334,0.012318,55.97637603507063,0.7176458466034696
200000000,79,10.0,20.0,2333.333333333356,0.011887,58.00597291158409,0.7342528216656213
200000000,80,10.0,20.0,2333.333333333347,0.012829,53.7467456543768,0.67183432067971
200000000,81,10.0,20.0,2333.333333333331,0.012141,56.792438843587846,0.701141220291208
200000000,82,10.0,20.0,2333.333333333319,0.011627,59.30308764083599,0.7232083858638535
200000000,83,10.0,20.0,2333.333333333335,0.012702,54.284128483703356,0.6540256443819681
200000000,84,10.0,20.0,2333.33333333333,0.011829,58.29038802941923,0.6939331908264195
200000000,85,10.0,20.0,2333.333333333324,0.012146,56.7690597727647,0.6678712914442906
200000000,86,10.0,20.0,2333.333333333327,0.012334,55.90376195881304,0.6500437437071284
200000000,87,10.0,20.0,2333.333333333351,0.012346,55.849424914952216,0.6419474128155427
200000000,88,10.0,20.0,2333.333333333346,0.011684,59.01377952755906,0.6706111309949893
200000000,89,10.0,20.0,2333.333333333353,0.012426,55.489859971028494,0.6234815727081853
200000000,90,10.0,20.0,2333.333333333322,0.011563,59.63132405085186,0.6625702672316873
200000000,91,10.0,20.0,2333.333333333343,0.012287,56.11760397167739,0.6166769667217296
200000000,92,10.0,20.0,2333.333333333333,0.01294,53.285703245749616,0.579192426584235
200000000,93,10.0,20.0,2333.333333333343,0.012022,57.354599900183004,0.616716127958957
200000000,94,10.0,20.0,2333.333333333333,0.011824,58.31503721244926,0.6203727363026518
200000000,95,10.0,20.0,2333.333333333321,0.011298,61.030005310674454,0.6424211085334153
200000000,96,10.0,20.0,2333.333333333318,0.01203,57.31645885286783,0.5970464463840399
200000000,97,10.0,20.0,2333.333333333329,0.012068,57.13597944978456,0.5890307159771604
200000000,98,10.0,20.0,2333.33333333335,0.011964,57.63264794383149,0.5880882443248111
200000000,99,10.0,20.0,2333.333333333348,0.012054,57.20233947237432,0.5778014088118618
200000000,100,10.0,20.0,2333.333333333323,0.011802,58.42374173868836,0.5842374173868836
200000000,101,10.0,20.0,2333.33333333333,0.010979,62.80326077056199,0.6218144630748712
200000000,102,10.0,20.0,2333.333333333323,0.012464,55.3206835686778,0.5423596428301746
200000000,103,10.0,20.0,2333.333333333323,0.012465,55.316245487364625,0.5370509270617925
200000000,104,10.0,20.0,2333.333333333327,0.010919,63.14836523491163,0.607195819566458
200000000,105,10.0,20.0,2333.333333333321,0.012244,56.314684743547865,0.5363303308909321
200000000,106,10.0,20.0,2333.333333333341,0.012519,55.07764198418404,0.519600396077208
200000000,107,10.0,20.0,2333.333333333333,0.012202,56.5085231929192,0.5281170391861607
200000000,108,10.0,20.0,2333.333333333348,0.014821,46.52297415828892,0.43076827924341593
200000000,109,10.0,20.0,2333.33333333335,0.012541,54.98102224702975,0.5044130481378876
200000000,110,10.0,20.0,2333.333333333336,0.012686,54.35259341005834,0.4941144855459849
200000000,111,10.0,20.0,2333.333333333323,0.011611,59.38480751011972,0.5349982658569344
200000000,112,10.0,20.0,2333.333333333338,0.012544,54.9678730867347,0.4907845811315598
200000000,113,10.0,20.0,2333.333333333333,0.011857,58.15273677996121,0.5146259892031966
200000000,114,10.0,20.0,2333.333333333332,0.012815,53.80546234880999,0.471977739901842
