n,trial_index,total_s,read_s,compute_s,write_s
2000,96,0.023163245,0.012457945,0.010614681,8.119e-05
3000,1,0.04187014,0.027259729,0.014539799,5.9701e-05
3000,2,0.03628601,0.021509327,0.014695403,6.8955e-05
3000,3,0.046602541,0.02475544,0.021750975,8.5902e-05
3000,4,0.036899509,0.022287261,0.014523317,8.0514e-05
3000,5,0.041932813,0.025513849,0.016321388,8.1054e-05
3000,6,0.036603375,0.021852244,0.014671358,6.9309e-05
3000,7,0.033213767,0.019770495,0.013372144,6.0559e-05
3000,8,0.033999787,0.020281299,0.013591795,0.000118641
3000,9,0.034173453,0.020416453,0.013677537,7.0011e-05
3000,10,0.034903638,0.021364855,0.013455805,7.2262e-05
3000,11,0.033746866,0.020283465,0.013377075,7.6039e-05
3000,12,0.035313777,0.020558458,0.014674825,7.0716e-05
3000,13,0.040283103,0.025095003,0.015092351,8.3279e-05
3000,14,0.035105935,0.021637164,0.013387118,7.1938e-05
3000,15,0.035723179,0.020939702,0.014702205,7.1058e-05
3000,16,0.035194936,0.0204535,0.014655723,7.5724e-05
3000,17,0.036005707,0.021177219,0.014742089,7.4964e-05
3000,18,0.034172042,0.020701754,0.01339368,6.6023e-05
3000,19,0.035215496,0.020758519,0.014372937,7.5453e-05
3000,20,0.035177478,0.021748734,0.013345202,7.4285e-05
3000,21,0.036666165,0.023231199,0.013351167,7.5047e-05
3000,22,0.033668804,0.020155216,0.013424598,8.0563e-05
3000,23,0.033322913,0.019835289,0.013398791,7.8578e-05
3000,24,0.033633834,0.020102211,0.013453118,6.9928e-05
3000,25,0.033483415,0.019895289,0.013502184,7.8458e-05
3000,26,0.036286061,0.021306122,0.014897558,7.119e-05
3000,27,0.037161708,0.022130407,0.014951674,6.8072e-05
3000,28,0.036607655,0.021764639,0.014761768,7.151e-05
3000,29,0.035626212,0.02062879,0.014916165,7.1413e-05
3000,30,0.035078413,0.020300099,0.014692053,7.8238e-05
3000,31,0.036917857,0.022225841,0.01460249,7.8668e-05
3000,32,0.036717572,0.021037117,0.015605109,6.694e-05
3000,33,0.042837452,0.024519539,0.018224733,7.2931e-05
3000,34,0.040258276,0.025092667,0.015078568,7.3587e-05
3000,35,0.036305337,0.021198365,0.015020751,7.5367e-05
3000,36,0.035595457,0.020899444,0.014614975,7.0179e-05
3000,37,0.034898827,0.020175897,0.014637957,7.4017e-05
3000,38,0.039340951,0.025030817,0.014226135,7.3213e-05
3000,39,0.035678627,0.020911726,0.014684514,7.2471e-05
3000,40,0.035353526,0.021934476,0.013346138,6.3127e-05
3000,41,0.035343806,0.020572155,0.014686042,7.5012e-05
3000,42,0.035340709,0.021073375,0.014185131,7.2151e-05
3000,43,0.040294293,0.025824512,0.01437927,8.1827e-05
