N,I,T,serial_time_s,pth_time_s,speedup,efficiency,serial_times_all,pth_times_all,serial_cmd,pth_cmd,case_dir
100,9,4,0.001810129,0.003257761,0.555636,0.138909,0.001870612;0.001810129;0.002384367,0.003257761;0.005608981;0.004011005,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 9,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 9 -I initial.dat -o pth_final.dat -t 4 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I9_T4
100,9,5,0.001727919,0.003914108,0.441459,0.088292,0.001764842;0.001727919;0.002390487,0.003914108;0.004933459;0.004591670,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 9,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 9 -I initial.dat -o pth_final.dat -t 5 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I9_T5
100,9,6,0.001798909,0.003655956,0.492049,0.082008,0.001798909;0.002243714;0.001808293,0.003655956;0.003970207;0.004693870,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 9,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 9 -I initial.dat -o pth_final.dat -t 6 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I9_T6
100,9,7,0.001789831,0.004232031,0.422925,0.060418,0.001985358;0.001959145;0.001789831,0.004232031;0.004263241;0.004616149,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 9,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 9 -I initial.dat -o pth_final.dat -t 7 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I9_T7
100,9,8,0.001796563,0.004389105,0.409323,0.051165,0.001796563;0.002308380;0.001799827,0.004389105;0.004833401;0.005552577,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 9,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 9 -I initial.dat -o pth_final.dat -t 8 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I9_T8
100,10,1,0.001967101,0.002820912,0.697328,0.697328,0.001967101;0.002296141;0.002058489,0.002937493;0.002820912;0.003728169,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 10,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 10 -I initial.dat -o pth_final.dat -t 1 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I10_T1
100,10,2,0.001848887,0.003140161,0.588787,0.294394,0.001848887;0.002724117;0.002277883,0.003140161;0.003752240;0.003931958,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 10,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 10 -I initial.dat -o pth_final.dat -t 2 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I10_T2
100,10,3,0.001804927,0.003756728,0.480452,0.160151,0.001804927;0.002092658;0.001881526,0.003954499;0.004153391;0.003756728,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 10,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 10 -I initial.dat -o pth_final.dat -t 3 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I10_T3
100,10,4,0.001856333,0.003747854,0.495306,0.123826,0.001856435;0.002491769;0.001856333,0.003747854;0.004395021;0.004384617,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 10,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 10 -I initial.dat -o pth_final.dat -t 4 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I10_T4
100,10,5,0.001833587,0.004086890,0.448651,0.089730,0.001833587;0.002836110;0.001843379,0.004086890;0.004135848;0.004975992,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 10,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 10 -I initial.dat -o pth_final.dat -t 5 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I10_T5
